Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
40;A una década de la Guerra del Agua;;8/4/10;Los Tiempos;“Fue un aporte importante que abrió una esperanza para otros pueblos. Los inspiró a organizarse para mejorar sus condiciones de vida en el mundo y en Bolivia”, dijo Óscar Olivera, ex dirigente fabril, al recordar los 10 años de la “Guerra del Agua”, acontecimiento del que fue protagonista al frente de la Coordinadora del Defensa del Agua y la Vida;Cochabamba;Recuerdad la guerra del agua;;GAM Cercado;;;Indican movilizaciones;expediente;;;;;;Análisis/ propuesta;Guerra del Agua;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;;;;Link;
41;"Recuerdan ""Guerra del Agua"" con una marcha";;16/4/10;Los Tiempos;Cochabamba recordó ayer la “Guerra del Agua” con una marcha multitudinaria, donde los protagonistas fueron los barrios sin agua, los comités populares, los activistas venidos de varias latitudes, los jóvenes “guerreros del agua”, los dirigentes que lideraron la histórica movilización y las más de 400 víctimas, que aún viven con las secuelas de la confrontación y el recuerdo de Víctor Hugo Daza, muerto durante el conflicto.;Cochabamba;Exigen que se cumpla algunos puntos que viene de la guerra del agua;Población cochabambina;Gobierno central;;;Marchan recordando la guerra del agua;expediente;;Org. Vecinal;Gob central ejecutivo;;;Análisis/ propuesta;Guerra del Agua;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;;;;Link;
42;Vecinos bloquean por casetas, ítems y agua;;4/5/10;Los Tiempos;Un conflicto por dotación de agua en Sacaba, generaron ayer la interrupción momentánea de la circulación vehicular.;Sacaba;Exigen dotación de agua;OTB Oronkota;Dirigentes OTB Oronkota;;;Bloquean exigiendo agua;SI;Derecho de uso;Org. Vecinal;;;;Manifiesto/ confrontación;Oronkota;Reproducción social;Metropolitana;Sacaba;Pozo Oronkota;Av. Villazón Oronkota;-17.399667;-66.050529;Link;
43;Conflicto por suministro de agua se agudiza en Sacaba;;5/5/10;Los Tiempos;Vecinos de la OTB Oroncota del municipio de Sacaba tomaron ayer las oficinas del Concejo municipal de dicha población con el fin de realizar una huelga de hambre en protesta porque, supuestamente, se les habría cortado hace cuatro meses el suministro de agua.;Sacaba;Exigen dotación de agua que no hay hace cuatro meses;OTB Oronkota;Dirigentes OTB Oronkota;;Concejo Municipal Sacaba;Toman instalaciones de la alcaldia de Sacaba;SI;Derecho de uso;Org. Vecinal;;;Gob municipal;Enfrentamiento violento;Oronkota;Reproducción social;Metropolitana;Sacaba;Pozo Oronkota;Plaza Sacaba;-17.403786;-66.041012;Link;
44;Organizaciones identifican 5 claves para salvar el contaminado río Rocha;Tatiana Castro;8/5/10;Opinión;Los especialistas han determinado peligrosos niveles de contaminación en el río Rocha porque recibe descargas de aguas servidas, pero también de agua industrial sin ningún tipo de tratamiento. El problema se agudiza porque el curso contaminado -incluso con animales muertos- se lo usa para riego, especialmente en la zona de La Maica.;Cochabamba;Salvar el Rio Rocha;;Gobierno Departamental;;;Exigen limpieza del Rio Rocha;NO;Contaminación de aguas;;Gob departamental;;;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;Río Rocha;;;;Link;
45;En el Rocha existen cuatro actividades económicas;;10/5/10;Los Tiempos;Por lo menos cuatro actividades lucrativas se realizan en las orillas del río Rocha, con las cuales sobreviven cientos de familias cochabambinas, provocando en algunos casos serios conflictos medioambientales sobre el río y en otros amenazando la salud de la población.;Cochabamba;Salvar el Rio Rocha;;GAM Cercado;;;Análisis de la actividad contaminante en el Río Rocha;NO;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;Río Rocha;;;;Link;
46;Vecinos de Sacaba llegan a un acuerdo;;11/5/10;Los Tiempos;Una guerra por el agua, de pequeña escala, ocurrida en Sacaba hace dos semanas está en vías de solución tras un acuerdo inicial arribado entre las partes en conflicto, a través del cual se busca una mejor administración de dos pozos de agua que dotan de este servicio a la región.;Sacaba;Exigen solución al conflicto del pozo;OTB Oronkota;Dirigentes OTB Oronkota;Defensor del Pueblo;Concejo Municipal Sacaba;Negociación;SI;Derecho de uso;Org. Vecinal;;Defensor del pueblo;Gob municipal;Negociación/ pausa;Oronkota;Reproducción social;Metropolitana;Sacaba;Pozo Oronkota;OTB Oronkota;-17.404832;-66.048966;Link;
47;Los regantes de El Paso tapan válvulas por 7 horas;;30/6/10;Los Tiempos;Los regantes de El Paso tomaron y cerraron ayer las válvulas de agua potable de la planta denominada El Paso durante 7 horas, por un conflicto que tienen con la Empresa Misicuni.;El Paso;Exigen solucionar lios con Empresa Misicuni;Regantes de El Paso;Empresa Misicuni;;;Cerrararon valvulas de distribución de agua;SI;Secuestro de aguas;Regantes;Empresa pública;;;Manifiesto/ confrontación;Misicuni Proyecto;Reproducción social;Metropolitana;Tiquipaya;Represa Misicuni;El Paso Aducción 14;-17.345377;-66.270331;Link;
48;Albarrancho está al doble de su capacidad;;20/7/10;Los Tiempos;La planta de tratamiento de aguas residuales en Cochabamba está funcionando al doble de su capacidad, así lo confirmaron el gerente del Servicio Municipal de Agua Potable y Alcantarillado (Semapa), Julio Vargas, y el oficial técnico de la Alcaldía, Leonardo Anaya.;Cochabamba;Exigen solucionar la planta de tratamiento de Albarancho;;GAM Cercado;;;Estudio indica el sobrecapacidad;NO;Contaminación de aguas;;EPSAS;;;Análisis/ propuesta;Albarrancho Planta;Ecológico / ambiental;Metropolitana;Cochabamba;Planta Albarrancho;;;;Link;
49;Buscan salvar al río Rocha con limpieza y nuevos proyectos;;1/9/10;Opinión;Aguas servidas, basura y maleza ocupan el lecho del río Rocha. Las autoridades de la Alcaldía del Cercado y la Gobernación inician un trabajo en conjunto para preparar al río para la época de lluvias y luego iniciar la recuperación.;Cochabamba;Limpieza del rio Rocha;;GAM Cercado;;Gobernación;Exigen limpieza del rio Rocha;NO;Contaminación de aguas;;Gob municipal;;Gob departamental;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;Río Rocha;;;;Link;
50;Alcaldía inicia limpieza de la cuenca del Rocha;;1/9/10;Los Tiempos;“Prácticamente el río Rocha se ha convertido en un foco de infección serio”, dijo Germán Parrilla, director de Medio Ambiente de la Alcaldía de Cercado al momento de iniciar ayer los trabajos de limpieza de toda la cuenca del río.;Rio Rocha;Inician limpieza de la cuenca del Rocha;;GAM Cercado;;;Inician limpieza;NO;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;Río Rocha;;;;Link;
51;Semapa: Existen desagües clandestinos de curtiembres;;2/9/10;Los Tiempos;Según las verificaciones que se hicieron al tipo de agua que desemboca en el río Rocha, el Servicio Municipal de Agua Potable y Alcantarillado (Semapa) confirmó la existencia de desagües clandestinos desde algunas curtiembres.;Albarrancho;Exigen mayor control en afluyente de alcantarilla;;Semapa;;;Hacen estudio;NO;Contaminación de aguas;Empresa pública;EPSAS;;;Análisis/ propuesta;Albarrancho Planta;Ecológico / ambiental;Metropolitana;Cochabamba;Planta Albarrancho;;;;Link;
52;Vecinos cortan agua a Cercado por ocho horas;Óscar E. Jordán Arandia;1/10/10;Los Tiempos;Durante aproximadamente ocho horas, las válvulas de la planta de agua de El Paso II, en el municipio de Quillacollo, fueron cerradas por los vecinos de esa zona demandando atención de las autoridades municipales y de la Gobernación.;El Paso II;Exigen atención del municipio de y la Gobernación;Vecinos de El Paso II;Alcandia y Gobernación;;;Cierre de valvulas de agua;NO;Secuestro de aguas;Org. Vecinal;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Pozos El Paso;Reproducción social;Metropolitana;Quillacollo;Pozos el Paso;;;;Link;
53;Por el cierre de válvulas hoy racionaran agua en Cala Cala;Melissa Revollo;1/10/10;Opinión;La zona de Cala Cala se verá afectada hoy por el racionamiento de agua debido al cierre de válvulas que pobladores de El Paso asumieron como medida de presión exigiendo incremento de recursos para su zona en el POA (Plan Operativo Anual) 2011 del municipio de Quillacollo.;El Paso II;Exigen más recursos para POA;Vecinos del Paso;GAM Quillacollo;;SEMAPA;Cierre de válvulas en El Paso;NO;Secuestro de aguas;Org. Vecinal;Gob municipal;;EPSAS;Manifiesto/ confrontación;Pozos El Paso;Reproducción social;Metropolitana;Quillacollo;Pozos el Paso;Pozos El Paso;-17.347338;-66.272429;Link;
54;Continúan protestas por aguas residuales;;18/10/10;Opinión;Los vecinos de las zonas aledañas a la Planta de Tratamiento de Aguas Residuales Albarrancho anunciaron que hoy retornarán los bloqueos denunciando que las autoridades no les dan soluciones concretas al problema medioambiental que sufren por las aguas servidas que emanan de esas instalaciones.;Albarrancho;Exigen solucionar las fugas de aguas residuales;Vecinos de la Tamborada;GAM Cercado;;SEMAPA;Bloqueo de avenidas hacia Zofraco;SI;Contaminación de aguas;Org. Vecinal;Gob municipal;;EPSAS;Manifiesto/ confrontación;Albarrancho Planta;Ecológico / ambiental;Metropolitana;Cochabamba;Planta Albarrancho;Planta de Albarrancho;-17.432513;-66.197350;Link;
55;Alcalde propone ampliación de la planta de Albarrancho;;19/10/10;Opinión;La demanda es el cierre de las lagunas de oxidación de la planta por el daño al medio ambiente y la salud de los vecinos, caso contrario advierten con asumir otras medidas de presión como el cierre de las válvulas.;Albarrancho;Exigen el cierre de las lagunas de oxidación;Vecinos de Albarrancho;GAM Cercado;;;Toma de planta de tratamiento;SI;Contaminación de aguas;Org. Vecinal;Gob municipal;;;Análisis/ propuesta;Albarrancho Planta;Ecológico / ambiental;Metropolitana;Cochabamba;Planta Albarrancho;Planta de Albarrancho;-17.432513;-66.197350;Link;
56;Estudio para la recuperación de río Rocha ya está en licitación;;18/11/10;Los Tiempos;El Concejo Municipal aprobó la resolución que autoriza al Alcalde transferir 500 mil bolivianos a la Gobernación para sumar los fondos previstos para el estudio sobre la recuperación del río Rocha.;Rio Rocha;Exigen estudio de recuperación del rio Rocha;;Gobernación de Cochabamba;;UMSS;La gobernción canaliza recursos;Si;Contaminación de aguas;;Gob departamental;;Universidad;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;Río Rocha;-17.382489;-66.162185;Link;
57;Buscan solución integral a falta de agua en Angostura;Jackeline Rojas Heredia;29/11/10;Los Tiempos;Representantes de la asociación de piscicultores de La Angostura y agricultores del valle bajo tienen previsto reunirse hoy con representantes de la Gobernación del departamento para encontrar una solución al problema generado a raíz del descenso del nivel del agua en la represa de La Angostura, lo que está provocando la muerte de peces. La situación, a su vez, ha generado el cierre del canal de agua por los piscicultores y ha dejado sin riego a más de 2 mil hectáreas de maíz y otros cultivos en los valles central y bajo de Cochabamba.;Angostura;Exigen formas de abastecer la Angostura;Asociación de Pisiculturas de la Angosturs;Gobernación de Cochabamba;;;Se reunen para planificar;Si;Implementación de proyecto;Piscícola;Gob departamental;;;Análisis/ propuesta;Angostura regantes;Reproducción social;Metropolitana;Cochabamba;Represa La Angostura;La Angostura;-17.551951;-66.029601;Link;
58;Regantes y pesqueros llegan a un acuerdo;;4/12/10;Los Tiempos;Este lunes la Gobernación, a través del Servicio Departamental de Caminos (Sedcam) volverá a habilitar el canal de desfogue de la ataguía-terraplén- de la represa de la Angostura, poniendo fin al conflicto entre pesqueros y regantes que se suscitó hace una semana.;Angostura;Exigen solucion al descenso de agua ;Asociación de Pisiculturas de la Angosturs;Gobernación de Cochabamba;;;llegaron a un acuerdo;NO;Implementación de proyecto;Piscícola;Gob departamental;;;Acuerdo;Angostura regantes;Reproducción social;Metropolitana;Cochabamba;Represa La Angostura;;;;Link;
59;Aguas servidas de 5 alcaldías al Rocha;Óscar E. Jordán Arandia;7/12/10;Los Tiempos;Las aguas residuales de los municipios de Tiquipaya, Colcapirhua, Sacaba, Parotani y Vinto van al río Rocha y se constituyen en una fuente de contaminación debido al uso que muchos le dan: el riego y el lavado de autos y ropa.;Rio Rocha;Exige de una vez a recuperacion de la cuenca del Rio Rocha;;Alcaldias de la Región Metropolitana;;UMSS;Según estudio se contamina el Rio Rocha;NO;Contaminación de aguas;;Aut. Dptal. y Mpal.;;Universidad;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Todos los de la región;Río Rocha;;;;Link;
60;Impiden apertura de canal de La Angostura;;7/12/10;Los Tiempos;Pese a que se firmó el pasado jueves un acuerdo para reabrir el canal de desfogue en la represa de La Angostura, ayer los comunarios de Caluyo y Tolata se opusieron a que la maquinaria de la Gobernación rehabilite el paso del agua hacia el Valle Bajo.;Angostura;Rechazan la apertura de canal de agua;Pobladores de Caluyo y Tolata;Gobernación de Cochabamba;;;Se movilizan para opnerse a la reapertura del canal de agua;SI;Derecho de uso;Piscícola;Gob departamental;;Regantes;Manifiesto/ confrontación;Angostura regantes;Reproducción social;Metropolitana;Cochabamba;Represa La Angostura;La Angostura;-17.528512;-66.085971;Link;
61;Angostura: dan ultimátum a vecinos bloqueadores;;9/12/10;Los Tiempos;Pese a un acuerdo firmado y varias reuniones realizadas para llegar a la consolidación de un acuerdo entre regantes y comunarios de Tolata y Arbieto, el canal de desfogue en La Angostura sigue cerrado y la Gobernación plantea una última reunión definitiva.;Angostura;Rechazan la reapertua del cana de agua;Campesinos de Tolata;Gobernación de Cochabamba;;;Bloquean la entrada a la Angostura;SI;Derecho de uso;Piscícola;Gob departamental;;Regantes;Manifiesto/ confrontación;Angostura regantes;Reproducción social;Metropolitana;Cochabamba;Represa La Angostura;La Angostura;-17.528512;-66.085971;Link;
62;Misicuni: Sectores sociales dan plazo para reiniciar obras;;21/12/10;Opinión;La Empresa Misicuni y el Consorcio Hidroelectrico Misicuni tiene plazo hasta mañana para que las obras de la construcción del tunel sean reanudadas.;Misicuni;Exigen la conclusión de la contruccion termica;Federacion de Regantes;Corporacion  Misicuni;;;Exigen la conclusion de la obra caso contrario habra movilización;NO;Implementación de proyecto;Regantes;Empresa pública;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Todos los de la región;Represa Misicuni;;;;Link;
63;Vacían la laguna Alalay para limpiar suciedades;Gisela Alcócer Caero;29/12/10;Los Tiempos;Después de varias décadas, las autoridades ediles del Cercado aprovechan la escasez de agua existente en la laguna Alalay, para limpiarla, liberarla del mal olor que tiene y convertirla en un destino turístico en el que se pueda contemplar un centro ecológico con mucha biodiversidad muy cerca del centro de la capital cochabambina.;Laguna Alalay;Realizan limpieza;;GAM Cercado;;;Limpian la laguna aprovechando bajo nivel del agua;SI;Contaminación de aguas;;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;-17.407960;-66.138557;Link;
64;Misicuni: piden nueva indemnización;;5/1/11;Los Tiempos;Un nuevo conflicto ronda al Proyecto Múltiple Misicuni. Esta vez, las ocho comunidades ubicadas en la jurisdicción de las obras –en la cordillera del Tunari– demandan el pago de una indemnización económica o una compensación por las tres hectáreas de tierra afectadas con la construcción de la segunda fase del proyecto y las fuentes de agua que serán absorbidas por la presa de 120 metros de altura, informó ayer el asambleísta departamental Marco Carrillo.;Misicuni;Exigen indeminización por daños del proyecto Misicuni;Ocho comunidades ubicadas en la juridicción del proyecto;Misicuni;;Central campesina de Quillacollo;Se unen para la demanda con campesinos de Quillacollo;Si;Implementación de proyecto;Org. Campesina;Empresa pública;;Org. Campesina;En ciernes;Misicuni Proyecto;Reproducción social;Metropolitana;Quillacollo;Represa Misicuni;Represa Misicuni;-17.097694;-66.329811;Link;
